strain	public-identifier	date	region	country	division	location	gisaid-accession
2000040951	USA/CA-CZB-28385/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478167
2000040986	USA/CA-CZB-28420/2021	2021-02-20	North America	USA	California	?	EPI_ISL_1478168
2000040999	USA/CA-CZB-28433/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478173
2000041004	USA/CA-CZB-28438/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478178
2000040956	USA/CA-CZB-28390/2021	2021-02-21	North America	USA	California	?	EPI_ISL_1478183
2000041012	USA/CA-CZB-28446/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478184
2000040974	USA/CA-CZB-28408/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478185
2000040991	USA/CA-CZB-28425/2021	2021-02-22	North America	USA	California	?	EPI_ISL_1478191
2000040994	USA/CA-CZB-28428/2021	2021-02-20	North America	USA	California	?	EPI_ISL_1478194
2000041013	USA/CA-CZB-28447/2021	2021-02-23	North America	USA	California	?	EPI_ISL_1478201
2000037923	USA/CA-CZB-28655/2021	2021-02-09	North America	USA	California	?	EPI_ISL_1664055
2000037890	USA/CA-CZB-28622/2021	2021-02-10	North America	USA	California	?	EPI_ISL_1664059
2000037902	USA/CA-CZB-28634/2021	2021-02-10	North America	USA	California	?	EPI_ISL_1664061
2000037863	USA/CA-CZB-28595/2021	2021-02-09	North America	USA	California	?	EPI_ISL_1664066
2000037898	USA/CA-CZB-28630/2021	2021-02-10	North America	USA	California	?	EPI_ISL_1664067
2000037937	USA/CA-CZB-28669/2021	2021-02-10	North America	USA	California	?	EPI_ISL_1664074
2000037927	USA/CA-CZB-28659/2021	2021-02-09	North America	USA	California	?	EPI_ISL_1664075
2000037899	USA/CA-CZB-28631/2021	2021-02-10	North America	USA	California	?	EPI_ISL_1664076
2000037928	USA/CA-CZB-28660/2021	2021-02-07	North America	USA	California	?	EPI_ISL_1664077
2000037939	USA/CA-CZB-28671/2021	2021-02-09	North America	USA	California	?	EPI_ISL_1664078
2000037914	USA/CA-CZB-28646/2021	2021-02-09	North America	USA	California	?	EPI_ISL_1664092
2000037909	USA/CA-CZB-28641/2021	2021-02-09	North America	USA	California	?	EPI_ISL_1664099
2000041389	USA/CA-CZB-29239/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701042
2000041349	USA/CA-CZB-29199/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701043
2000041351	USA/CA-CZB-29201/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701044
2000041373	USA/CA-CZB-29223/2021	2021-03-05	North America	USA	California	?	EPI_ISL_1701045
2000041284	USA/CA-CZB-29316/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701047
2000041218	USA/CA-CZB-29250/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701048
SF-BH.WGS021	USA/CA-CZB-2462/2020	2020-05-21	North America	USA	California	San Francisco County	EPI_ISL_513867
SF-BH.WGS026	USA/CA-CZB-2466/2020	2020-05-19	North America	USA	California	San Francisco County	EPI_ISL_513871
SF-BH.WGS027	USA/CA-CZB-2467/2020	2020-05-19	North America	USA	California	San Francisco County	EPI_ISL_513872
SF-BH.WGS028	USA/CA-CZB-2468/2020	2020-05-19	North America	USA	California	San Francisco County	EPI_ISL_513873
20VI02062	USA/CA-CZB-1675/2020	2020-03-30	North America	USA	California	Contra Costa County	EPI_ISL_468615
SCOV20343	USA/CA-CZB-1274/2020	2020-04-16	North America	USA	California	Alameda County	EPI_ISL_454611
SCOV20835	USA/CA-CZB-1346/2020	2020-04-09	North America	USA	California	Alameda County	EPI_ISL_468362.2
SCOV20042	USA/CA-CZB-1355/2020	2020-04-11	North America	USA	California	Alameda County	EPI_ISL_468369.2
SCOV20584	USA/CA-CZB-1356/2020	2020-04-12	North America	USA	California	Alameda County	EPI_ISL_468370.2
SCOV20468	USA/CA-CZB-1359/2020	2020-04-12	North America	USA	California	Alameda County	EPI_ISL_468371.2
SCOV20358	USA/CA-CZB-1360/2020	2020-04-12	North America	USA	California	Alameda County	EPI_ISL_468372
2005870	USA/CA-CZB-1581/2020	2020-03-21	North America	USA	California	San Joaquin County	EPI_ISL_468511
2005881	USA/CA-CZB-1582/2020	2020-03-21	North America	USA	California	San Joaquin County	EPI_ISL_468512.2
2005898	USA/CA-CZB-1583/2020	2020-03-21	North America	USA	California	San Joaquin County	EPI_ISL_468513
SF-BH.WGS031	USA/CA-CZB-2471/2020	2020-05-20	North America	USA	California	San Francisco County	EPI_ISL_513875
21WG01023	USA/CA-CZB-33534/2021	2021-04-27	North America	USA	California	Contra Costa County	EPI_ISL_2496980
21WG01031	USA/CA-CZB-33542/2021	2021-04-27	North America	USA	California	Contra Costa County	EPI_ISL_2496972
21WG00446	USA/CA-CZB-30332/2021	2021-01-09	North America	USA	California	Contra Costa County	EPI_ISL_2102522
21WG00460	USA/CA-CZB-30346/2021	2021-01-11	North America	USA	California	Contra Costa County	EPI_ISL_2102588
21WG00315	USA/CA-CZB-29385/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1664108
21WG00316	USA/CA-CZB-29386/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1663930
20SCPH62165	USA/CA-CZB-11682/2020	2020-09-24	North America	USA	California	Santa Clara County	EPI_ISL_625493
21WG00317	USA/CA-CZB-29387/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1664103
21WG00318	USA/CA-CZB-29388/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1664030
21WG00321	USA/CA-CZB-29391/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1664035
21WG00323	USA/CA-CZB-29393/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1663948
21WG00326	USA/CA-CZB-29396/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1664082
21WG00329	USA/CA-CZB-29399/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1664112
21WG00334	USA/CA-CZB-29404/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1663955
21WG00335	USA/CA-CZB-29405/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1663987
21WG00340	USA/CA-CZB-29410/2021	2021-01-06	North America	USA	California	Contra Costa County	EPI_ISL_1663962
21WG00345	USA/CA-CZB-29415/2021	2021-01-06	North America	USA	California	Contra Costa County	EPI_ISL_1664060
21WG00347	USA/CA-CZB-29417/2021	2021-01-06	North America	USA	California	Contra Costa County	EPI_ISL_1664085
21WG00352	USA/CA-CZB-29422/2021	2021-01-06	North America	USA	California	Contra Costa County	EPI_ISL_1663995
21WG00359	USA/CA-CZB-29429/2021	2021-01-06	North America	USA	California	Contra Costa County	EPI_ISL_1664045
21WG00366	USA/CA-CZB-29436/2021	2021-01-06	North America	USA	California	Contra Costa County	EPI_ISL_1664097
21WG00464	USA/CA-CZB-30506/2021	2021-01-11	North America	USA	California	Contra Costa County	EPI_ISL_2102885
21WG00498	USA/CA-CZB-30540/2021	2021-01-18	North America	USA	California	Contra Costa County	EPI_ISL_2102769
21WG00504	USA/CA-CZB-30546/2021	2021-01-18	North America	USA	California	Contra Costa County	EPI_ISL_2102970
21WG00505	USA/CA-CZB-30547/2021	2021-01-18	North America	USA	California	Contra Costa County	EPI_ISL_2102908
21WG00523	USA/CA-CZB-30565/2021	2021-01-21	North America	USA	California	Contra Costa County	EPI_ISL_2102814
21WG00524	USA/CA-CZB-30566/2021	2021-01-21	North America	USA	California	Contra Costa County	EPI_ISL_2102767
21WG00529	USA/CA-CZB-30571/2021	2021-01-29	North America	USA	California	Contra Costa County	EPI_ISL_2102937
21WG00530	USA/CA-CZB-30572/2021	2021-01-29	North America	USA	California	Contra Costa County	EPI_ISL_2102833
21WG00532	USA/CA-CZB-30574/2021	2021-01-29	North America	USA	California	Contra Costa County	EPI_ISL_2102821
21WG00537	USA/CA-CZB-30579/2021	2021-03-15	North America	USA	California	Contra Costa County	EPI_ISL_2102946
21WG00541	USA/CA-CZB-30583/2021	2021-03-21	North America	USA	California	Contra Costa County	EPI_ISL_2102982
21WG00543	USA/CA-CZB-30585/2021	2021-03-22	North America	USA	California	Contra Costa County	EPI_ISL_2102866
21WG00086	USA/CA-CZB-28282/2021	2021-02-27	North America	USA	California	Contra Costa County	EPI_ISL_1478117
21WG00087	USA/CA-CZB-28283/2021	2021-02-14	North America	USA	California	Contra Costa County	EPI_ISL_1477966
21WG00092	USA/CA-CZB-28288/2021	2021-01-15	North America	USA	California	Contra Costa County	EPI_ISL_1478199
21WG00102	USA/CA-CZB-28298/2021	2021-01-15	North America	USA	California	Contra Costa County	EPI_ISL_1477952
21WG00104	USA/CA-CZB-28300/2021	2021-01-15	North America	USA	California	Contra Costa County	EPI_ISL_1478180
20SCPH69230	USA/CA-CZB-12342/2020	2020-10-11	North America	USA	California	Santa Clara County	EPI_ISL_648417
21WG00114	USA/CA-CZB-28310/2021	2021-01-16	North America	USA	California	Contra Costa County	EPI_ISL_1477977
21WG00119	USA/CA-CZB-28315/2021	2021-01-16	North America	USA	California	Contra Costa County	EPI_ISL_1478188
21WG00122	USA/CA-CZB-28318/2021	2021-01-16	North America	USA	California	Contra Costa County	EPI_ISL_1478193
21WG00124	USA/CA-CZB-28320/2021	2021-01-16	North America	USA	California	Contra Costa County	EPI_ISL_1478011
21WG00133	USA/CA-CZB-28329/2021	2021-01-01	North America	USA	California	Contra Costa County	EPI_ISL_1478078
21WG00166	USA/CA-CZB-28362/2021	2021-02-07	North America	USA	California	Contra Costa County	EPI_ISL_1478090
21WG00006	USA/CA-CZB-27735/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477698
21WG00013	USA/CA-CZB-27742/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477761
21WG00017	USA/CA-CZB-27746/2021	2021-02-15	North America	USA	California	Contra Costa County	EPI_ISL_1477910
21WG00023	USA/CA-CZB-27752/2021	2021-02-03	North America	USA	California	Contra Costa County	EPI_ISL_1477802
21WG00033	USA/CA-CZB-27762/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477689
21WG00040	USA/CA-CZB-27769/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477876
21WG00043	USA/CA-CZB-27772/2021	2021-01-16	North America	USA	California	Contra Costa County	EPI_ISL_1477833
21WG00047	USA/CA-CZB-27776/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477713
21WG00050	USA/CA-CZB-27779/2021	2021-01-19	North America	USA	California	Contra Costa County	EPI_ISL_1477737
21WG00053	USA/CA-CZB-27782/2021	2021-02-19	North America	USA	California	Contra Costa County	EPI_ISL_1477894
21WG00058	USA/CA-CZB-27787/2021	2021-02-08	North America	USA	California	Contra Costa County	EPI_ISL_1477869
21WG00061	USA/CA-CZB-27790/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477911
SF-BH.WGS002	USA/CA-CZB-2448/2020	2020-05-22	North America	USA	California	San Francisco County	EPI_ISL_513857
21WG00068	USA/CA-CZB-27797/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477944
21WG00075	USA/CA-CZB-27804/2021	2021-02-23	North America	USA	California	Contra Costa County	EPI_ISL_1477739
21WG00187	USA/CA-CZB-28498/2021	2021-01-22	North America	USA	California	Contra Costa County	EPI_ISL_1529212
21WG00189	USA/CA-CZB-28500/2021	2021-01-22	North America	USA	California	Contra Costa County	EPI_ISL_1529229
21WG00200	USA/CA-CZB-28511/2021	2021-03-03	North America	USA	California	Contra Costa County	EPI_ISL_1529300
21WG00204	USA/CA-CZB-28515/2021	2021-03-04	North America	USA	California	Contra Costa County	EPI_ISL_1529176
21WG00206	USA/CA-CZB-28517/2021	2021-03-04	North America	USA	California	Contra Costa County	EPI_ISL_1529202
21WG00216	USA/CA-CZB-28527/2021	2021-03-05	North America	USA	California	Contra Costa County	EPI_ISL_1529345
21WG00220	USA/CA-CZB-28531/2021	2021-03-05	North America	USA	California	Contra Costa County	EPI_ISL_1529179
20SCPH70694	USA/CA-CZB-12787/2020	2020-10-14	North America	USA	California	Santa Clara County	EPI_ISL_648444
21WG00253	USA/CA-CZB-28564/2021	2021-01-25	North America	USA	California	Contra Costa County	EPI_ISL_1529346
21WG00254	USA/CA-CZB-28565/2021	2021-01-25	North America	USA	California	Contra Costa County	EPI_ISL_1529177
21WG00270	USA/CA-CZB-28581/2021	2021-01-29	North America	USA	California	Contra Costa County	EPI_ISL_1529164
21VI07916	USA/CA-CZB-26753/2021	2021-01-20	North America	USA	California	Contra Costa County	EPI_ISL_1235332
21VI07589	USA/CA-CZB-26775/2021	2021-01-19	North America	USA	California	Contra Costa County	EPI_ISL_1235302
21VI09967	USA/CA-CZB-26833/2021	2021-01-26	North America	USA	California	Contra Costa County	EPI_ISL_1235348
21VI11165	USA/CA-CZB-26851/2021	2021-01-30	North America	USA	California	Contra Costa County	EPI_ISL_1235355
21VI12764	USA/CA-CZB-26867/2021	2021-02-02	North America	USA	California	Contra Costa County	EPI_ISL_1235347
21VI12749	USA/CA-CZB-26869/2021	2021-02-02	North America	USA	California	Contra Costa County	EPI_ISL_1235268
21VI12434	USA/CA-CZB-26875/2021	2021-02-02	North America	USA	California	Contra Costa County	EPI_ISL_1235216
21VI02909	USA/CA-CZB-25307/2021	2021-01-08	North America	USA	California	Contra Costa County	EPI_ISL_1234616
21VI03075	USA/CA-CZB-25315/2021	2021-01-08	North America	USA	California	Contra Costa County	EPI_ISL_1234647
21VI03087	USA/CA-CZB-25316/2021	2021-01-08	North America	USA	California	Contra Costa County	EPI_ISL_1234756
21VI03113	USA/CA-CZB-25321/2021	2021-01-08	North America	USA	California	Contra Costa County	EPI_ISL_1234590
21VI03605	USA/CA-CZB-25335/2021	2021-01-09	North America	USA	California	Contra Costa County	EPI_ISL_1234538
21VI03837	USA/CA-CZB-25346/2021	2021-01-11	North America	USA	California	Contra Costa County	EPI_ISL_1234727
2005953	USA/CA-CZB-1585/2020	2020-03-22	North America	USA	California	San Joaquin County	EPI_ISL_468515
2006047	USA/CA-CZB-1586/2020	2020-03-23	North America	USA	California	San Joaquin County	EPI_ISL_468516.2
2006084	USA/CA-CZB-1587/2020	2020-03-24	North America	USA	California	San Joaquin County	EPI_ISL_468517
21VI04889	USA/CA-CZB-23288/2021	2021-01-12	North America	USA	California	Contra Costa County	EPI_ISL_1030384
21VI04989	USA/CA-CZB-23289/2021	2021-01-12	North America	USA	California	Contra Costa County	EPI_ISL_1030385
21VI04993	USA/CA-CZB-23290/2021	2021-01-12	North America	USA	California	Contra Costa County	EPI_ISL_1030386
21VI05377	USA/CA-CZB-23307/2021	2021-01-13	North America	USA	California	Contra Costa County	EPI_ISL_1030369
21VI05355	USA/CA-CZB-23310/2021	2021-01-13	North America	USA	California	Contra Costa County	EPI_ISL_1030372
21VI05520	USA/CA-CZB-23311/2021	2021-01-13	North America	USA	California	Contra Costa County	EPI_ISL_1030373
21VI07545	USA/CA-CZB-23321/2021	2021-01-19	North America	USA	California	Contra Costa County	EPI_ISL_1030322
21VI07673	USA/CA-CZB-23327/2021	2021-01-20	North America	USA	California	Contra Costa County	EPI_ISL_1030313
21VI07672	USA/CA-CZB-23328/2021	2021-01-20	North America	USA	California	Contra Costa County	EPI_ISL_1030314
21VI07675	USA/CA-CZB-23329/2021	2021-01-20	North America	USA	California	Contra Costa County	EPI_ISL_1030315
21VI07674	USA/CA-CZB-23330/2021	2021-01-20	North America	USA	California	Contra Costa County	EPI_ISL_1030316
21VI05671	USA/CA-CZB-23338/2021	2021-01-14	North America	USA	California	Contra Costa County	EPI_ISL_1030338
21VI05672	USA/CA-CZB-23339/2021	2021-01-14	North America	USA	California	Contra Costa County	EPI_ISL_1030339
21VI06466	USA/CA-CZB-23351/2021	2021-01-15	North America	USA	California	Contra Costa County	EPI_ISL_1030332
20SCPH67316	USA/CA-CZB-12820/2020	2020-09-30	North America	USA	California	Santa Clara County	EPI_ISL_648471
21VI05782	USA/CA-CZB-23359/2021	2021-01-14	North America	USA	California	Contra Costa County	EPI_ISL_1030354
21VI05777	USA/CA-CZB-23366/2021	2021-01-14	North America	USA	California	Contra Costa County	EPI_ISL_1030309
21VI06390	USA/CA-CZB-23369/2021	2021-01-15	North America	USA	California	Contra Costa County	EPI_ISL_1030334
21VI05904	USA/CA-CZB-23371/2021	2021-01-14	North America	USA	California	Contra Costa County	EPI_ISL_1030359
21VI06132	USA/CA-CZB-23373/2021	2021-01-15	North America	USA	California	Contra Costa County	EPI_ISL_1030335
21WG00951	USA/CA-CZB-33462/2021	2021-04-19	North America	USA	California	Contra Costa County	EPI_ISL_2496921
2000041225	USA/CA-CZB-29257/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701049
2000041395	USA/CA-CZB-29245/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701051
2000041302	USA/CA-CZB-29334/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701053
21WG00759	USA/CA-CZB-32100/2021	2021-04-21	North America	USA	California	Contra Costa County	EPI_ISL_2341614
21VI02888	USA/CA-CZB-25305/2021	2021-01-08	North America	USA	California	Contra Costa County	EPI_ISL_1234684
21WG00763	USA/CA-CZB-32104/2021	2021-04-27	North America	USA	California	Contra Costa County	EPI_ISL_2341437
21WG00806	USA/CA-CZB-32147/2021	2021-03-26	North America	USA	California	Contra Costa County	EPI_ISL_2341451
21WG00680	USA/CA-CZB-31574/2021	2021-02-24	North America	USA	California	Contra Costa County	EPI_ISL_2228256
21WG00691	USA/CA-CZB-31585/2021	2021-02-27	North America	USA	California	Contra Costa County	EPI_ISL_2228403
2000041281	USA/CA-CZB-29313/2021	2021-03-05	North America	USA	California	?	EPI_ISL_1701054
21WG00851	USA/CA-CZB-32295/2021	2021-04-08	North America	USA	California	Contra Costa County	EPI_ISL_2497688
21WG00884	USA/CA-CZB-32328/2021	2021-03-31	North America	USA	California	Contra Costa County	EPI_ISL_2497687
21WG00920	USA/CA-CZB-32364/2021	2021-04-16	North America	USA	California	Contra Costa County	EPI_ISL_2497692
21WG00948	USA/CA-CZB-33459/2021	2021-04-19	North America	USA	California	Contra Costa County	EPI_ISL_2496947
21WG00968	USA/CA-CZB-33479/2021	2021-04-21	North America	USA	California	Contra Costa County	EPI_ISL_2496916
21WG00970	USA/CA-CZB-33481/2021	2021-04-21	North America	USA	California	Contra Costa County	EPI_ISL_2496956
21WG01014	USA/CA-CZB-33525/2021	2021-04-26	North America	USA	California	Contra Costa County	EPI_ISL_2496917
21WG01030	USA/CA-CZB-33541/2021	2021-04-28	North America	USA	California	Contra Costa County	EPI_ISL_2496960
21WG00486	USA/CA-CZB-30528/2021	2021-01-16	North America	USA	California	Contra Costa County	EPI_ISL_2102901
21WG00539	USA/CA-CZB-30581/2021	2021-03-30	North America	USA	California	Contra Costa County	EPI_ISL_2102891
21WG00540	USA/CA-CZB-30582/2021	2021-03-30	North America	USA	California	Contra Costa County	EPI_ISL_2102954
21WG00544	USA/CA-CZB-30586/2021	2021-03-24	North America	USA	California	Contra Costa County	EPI_ISL_2102824
2006086	USA/CA-CZB-1588/2020	2020-03-24	North America	USA	California	San Joaquin County	EPI_ISL_468518
21-2002007	USA/CA-CZB-25011/2021	2021-01-19	North America	USA	California	Alameda County	EPI_ISL_1235397
20-076-1457	USA/CA-CZB-3637/2020	2020-03-16	North America	USA	California	Ventura County	EPI_ISL_548356
21WG00582	USA/CA-CZB-31187/2021	2021-02-02	North America	USA	California	Contra Costa County	EPI_ISL_2103143
21VI08007	USA/CA-CZB-26757/2021	2021-01-20	North America	USA	California	Contra Costa County	EPI_ISL_1235271
COVID33-4	USA/CA-CZB-14951/2020	2020-06-06	North America	USA	California	Monterey County	EPI_ISL_738506
21WG00088	USA/CA-CZB-28284/2021	2021-02-15	North America	USA	California	Contra Costa County	EPI_ISL_1478000
21VI02674	USA/CA-CZB-25288/2021	2021-01-07	North America	USA	California	Contra Costa County	EPI_ISL_1234741
21WG00311	USA/CA-CZB-29381/2021	2021-01-05	North America	USA	California	Contra Costa County	EPI_ISL_1663937
21VI05606	USA/CA-CZB-23345/2021	2021-01-13	North America	USA	California	Contra Costa County	EPI_ISL_1030307
21WG00502	USA/CA-CZB-30544/2021	2021-01-18	North America	USA	California	Contra Costa County	EPI_ISL_2102761
20VI23934	USA/CA-CZB-3939/2020	2020-07-31	North America	USA	California	Contra Costa County	EPI_ISL_548531
21WG00094	USA/CA-CZB-28290/2021	2021-01-15	North America	USA	California	Contra Costa County	EPI_ISL_1477990
21WG00051	USA/CA-CZB-27780/2021	2021-02-08	North America	USA	California	Contra Costa County	EPI_ISL_1477826
20SCPH73991	USA/CA-CZB-12978/2020	2020-10-21	North America	USA	California	Santa Clara County	EPI_ISL_672088
21VI03714	USA/CA-CZB-25339/2021	2021-01-09	North America	USA	California	Contra Costa County	EPI_ISL_1234664
21WG00285	USA/CA-CZB-29355/2021	2021-01-04	North America	USA	California	Contra Costa County	EPI_ISL_1664110
21WG00289	USA/CA-CZB-29359/2021	2021-01-04	North America	USA	California	Contra Costa County	EPI_ISL_1664058
21VI07430	USA/CA-CZB-23320/2021	2021-01-19	North America	USA	California	Contra Costa County	EPI_ISL_1030310
21VI07607	USA/CA-CZB-26776/2021	2021-01-19	North America	USA	California	Contra Costa County	EPI_ISL_1235352
21WG00886	USA/CA-CZB-32330/2021	2021-04-11	North America	USA	California	Contra Costa County	EPI_ISL_2497756
21WG00450	USA/CA-CZB-30336/2021	2021-01-11	North America	USA	California	Contra Costa County	EPI_ISL_2103049
21WG00633	USA/CA-CZB-31238/2021	2021-02-14	North America	USA	California	Contra Costa County	EPI_ISL_2103037
21WG00634	USA/CA-CZB-31239/2021	2021-02-14	North America	USA	California	Contra Costa County	EPI_ISL_2103171
21WG00438	USA/CA-CZB-30324/2021	2021-01-11	North America	USA	California	Contra Costa County	EPI_ISL_2102541
21WG00462	USA/CA-CZB-30348/2021	2021-01-11	North America	USA	California	Contra Costa County	EPI_ISL_2102538
21VI02333	USA/CA-CZB-25265/2021	2021-01-06	North America	USA	California	Contra Costa County	EPI_ISL_1234710
21VI02934	USA/CA-CZB-25299/2021	2021-01-08	North America	USA	California	Contra Costa County	EPI_ISL_1234632
21VI07518	USA/CA-CZB-23325/2021	2021-01-19	North America	USA	California	Contra Costa County	EPI_ISL_1030326
21WG01018	USA/CA-CZB-33529/2021	2021-04-26	North America	USA	California	Contra Costa County	EPI_ISL_2496924
21WG00824	USA/CA-CZB-32165/2021	2021-04-04	North America	USA	California	Contra Costa County	EPI_ISL_2341456
21WG00904	USA/CA-CZB-32348/2021	2021-04-13	North America	USA	California	Contra Costa County	EPI_ISL_2497684
21WG00795	USA/CA-CZB-32136/2021	2021-03-23	North America	USA	California	Contra Costa County	EPI_ISL_2341524
21WG00826	USA/CA-CZB-32167/2021	2021-04-05	North America	USA	California	Contra Costa County	EPI_ISL_2341551
21WG00879	USA/CA-CZB-32323/2021	2021-04-10	North America	USA	California	Contra Costa County	EPI_ISL_2497667
21WG00934	USA/CA-CZB-32378/2021	2021-04-18	North America	USA	California	Contra Costa County	EPI_ISL_2497659
21WG00944	USA/CA-CZB-33455/2021	2021-04-19	North America	USA	California	Contra Costa County	EPI_ISL_2496912
21WG00982	USA/CA-CZB-33493/2021	2021-04-22	North America	USA	California	Contra Costa County	EPI_ISL_2496914
21WG01000	USA/CA-CZB-33511/2021	2021-04-24	North America	USA	California	Contra Costa County	EPI_ISL_2496904
21WG00165	USA/CA-CZB-28361/2021	2021-02-07	North America	USA	California	Contra Costa County	EPI_ISL_1478052
21VI11808	USA/CA-CZB-26923/2021	2021-02-01	North America	USA	California	Contra Costa County	EPI_ISL_1235114
OCPHL222	USA/CA-CZB-1984/2020	2020-05-07	North America	USA	California	Orange County	EPI_ISL_486251
20SCPH76123	USA/CA-CZB-13018/2020	2020-10-26	North America	USA	California	Santa Clara County	EPI_ISL_672303
20SCPH43531	USA/CA-CZB-3704/2020	2020-07-23	North America	USA	California	Santa Clara County	EPI_ISL_548432
2000041364	USA/CA-CZB-29214/2021	2021-03-04	North America	USA	California	?	EPI_ISL_1701055
20SCPH45158	USA/CA-CZB-3616/2020	2020-07-28	North America	USA	California	Santa Clara County	EPI_ISL_548339
20SCPH45159	USA/CA-CZB-3617/2020	2020-07-28	North America	USA	California	Santa Clara County	EPI_ISL_548344
20SCPH45160	USA/CA-CZB-3618/2020	2020-07-28	North America	USA	California	Santa Clara County	EPI_ISL_548342
20SCPH45161	USA/CA-CZB-3619/2020	2020-07-28	North America	USA	California	Santa Clara County	EPI_ISL_548341
